[('tile_ic', [-1, 64]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,188
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,189
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,190
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,191
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,192
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,193
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,194
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,195
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,196
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,197
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,198
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,199
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,200
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,201
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,202
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,203
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,204
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,205
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,206
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,207
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 8]), ('tile_oh', 1)],direct,None,208
